가맹점,카드수,주카테고리
스타벅스,66,카페/디저트
GS25,46,편의점
CGV,36,영화/문화
쿠팡,32,마트/쇼핑
아웃백,30,푸드/외식
에버랜드,28,테마파크/레저
롯데월드,26,테마파크/레저
넷플릭스,25,구독/멤버십
VIPS,24,푸드/외식
CU,22,편의점
G마켓,22,마트/쇼핑
교보문고,21,영화/문화
올리브영,19,뷰티/피트니스
멜론,18,구독/멤버십
GS칼텍스,17,주유
옥션,16,마트/쇼핑
티몬,15,마트/쇼핑
요기요,15,배달앱
OTT,15,구독/멤버십
세븐일레븐,14,편의점
위메프,13,마트/쇼핑
TGIF,13,푸드/외식
투썸플레이스,13,카페/디저트
배달의 민족,13,배달앱
간편결제,13,간편결제
폴바셋,12,카페/디저트
온라인 간편결제,11,간편결제
배달의민족,11,배달앱
롯데시네마,11,영화/문화
SKT,10,통신
카카오페이,10,간편결제
다이소,10,뷰티/피트니스
파리바게뜨,10,카페/디저트
쿠팡이츠,10,배달앱
KT,9,통신
서울랜드,9,테마파크/레저
LG U+,9,통신
스트리밍,9,구독/멤버십
뚜레쥬르,9,카페/디저트
디지털콘텐츠,9,구독/멤버십
롯데 자이언츠,9,테마파크/레저
메가박스,8,영화/문화
이디야,8,카페/디저트
주차장,8,자동차/정비
유튜브프리미엄,7,구독/멤버십
온라인,7,온라인쇼핑
네이버페이,7,간편결제
해피포인트,6,멤버십/포인트
온라인 간편결제서비스 이용 시,6,멤버십/포인트
무신사,6,마트/쇼핑
웨이브,5,구독/멤버십
왓챠,5,구독/멤버십
치킨,5,푸드/외식
구글플레이스토어,5,영화/문화
대리운전,5,자동차/정비
롯데시네마 4,5,영화/문화
CGV 3,5,영화/문화
던킨도너츠,5,카페/디저트
삼성페이,5,간편결제
피자,5,푸드/외식
지니,5,구독/멤버십
KB Pay,5,간편결제
CGV 4,5,영화/문화
롯데리아,5,푸드/외식
공유 모빌리티,5,생활
스타벅스(사이렌오더 포함),5,카페/디저트
현대오일뱅크,4,주유
맥도날드,4,푸드/외식
일시불,4,모든가맹점
인터파크 티켓,4,영화/문화
모아포인트,4,멤버십/포인트
요기요 1,4,배달앱
스타벅스 4,4,카페/디저트
배스킨라빈스,4,카페/디저트
스타벅스 사이렌오더,4,카페/디저트
배달,4,마트/쇼핑
마켓컬리,4,마트/쇼핑
유튜브,4,구독/멤버십
앱스토어,4,영화/문화
딜리버리,4,배달앱
롯데월드 15,4,테마파크/레저
롯데시네마 관람료 1,4,영화/문화
Liiv M 2,4,통신
유튜브프리미엄 1,4,구독/멤버십
주요 간편결제 모아포인트,3,간편결제
우체국,3,기타
이디야 결제 건당,3,카페/디저트
롯데ON,3,마트/쇼핑
도서,3,영화/문화
경주월드,3,테마파크/레저
모아포인트 0.3 ~,3,모든가맹점
스타벅스 3,3,카페/디저트
유튜브 프리미엄 정기권,3,기타
유튜브 프리미엄,3,구독/멤버십
인터파크,3,마트/쇼핑
롯데월드 본인 종합이용권,3,테마파크/레저
기본적립,3,멤버십/포인트
기아 신차 구매 시,3,멤버십/포인트
빕스,3,푸드/외식
전기,3,주유
사용 금액의,3,멤버십/포인트
애플 앱스토어,3,영화/문화
구글 플레이스토어,3,영화/문화
아시아나,3,항공/마일리지
어학시험,3,교육/육아
영상 스트리밍,3,구독/멤버십
CJ올리브영,3,뷰티/피트니스
'기본적립'된 포인트의,3,멤버십/포인트
아웃백스테이크하우스,3,푸드/외식
식음료,3,푸드/외식
하이패스,3,교통
S-OIL,3,주유
엔제리너스,3,카페/디저트
티빙,3,구독/멤버십
전국맛집 5,2,푸드/외식
에버랜드 자유이용권,2,테마파크/레저
지니뮤직,2,구독/멤버십
지그재그,2,마트/쇼핑
EMS,2,마트/쇼핑
KTX,2,기타
집반찬연구소,2,푸드/외식
디즈니플러스,2,구독/멤버십
썸패스,2,간편결제
현대자동차,2,멤버십/포인트
세라 온라인 충전금액,2,영화/문화
프로야구,2,테마파크/레저
더한섬닷컴,2,기타
프레딧,2,마트/쇼핑
적립한도 없이 기본,2,모든가맹점
세차,2,자동차/정비
단골 매장,2,기타
온라인몰,2,멤버십/포인트
빵집 2,2,카페/디저트
제일제면소,2,푸드/외식
할인한도 없이,2,모든가맹점
해피오더,2,멤버십/포인트
빅포인트,2,모든가맹점
GS리테일 점내 이용 시,2,멤버십/포인트
인앱 결제,2,구독/멤버십
할리스,2,카페/디저트
야놀자,2,멤버십/포인트
온라인 식품배달,2,배달앱
불고기브라더스,2,푸드/외식
레고랜드 리조트,2,테마파크/레저
삼성닷컴,2,마트/쇼핑
애슐리,2,푸드/외식
랄라블라,2,뷰티/피트니스
주차,2,자동차/정비
다이소 결제금액의,2,마트/쇼핑
이동,2,교통
디지털 컨텐츠,2,구독/멤버십
디지털 결제,2,간편결제
주문,2,배달앱
모바일앱) 2,2,영화/문화
우대:,2,기타
EQL,2,기타
SRT 일반석 승차권,2,기타
SSG,2,마트/쇼핑
자동차정비 5,2,자동차/정비
수소차 충전,2,기타
